popup,latitude,longitude,color
amaravathi,16.5131,80.5165,red
itanagar,27.0844,93.6053,blue
dispur,26.1433,91.7898,green
patna,25.5941,85.1376,black
raipur,21.2514,81.6296,red
panaji,15.4909,73.8278,green
gandhinagar,23.2156,72.6369,black
chandigarh,30.7333,76.7794,blue
shimla,31.1048,77.1734,red
aizwal,23.8789,92.8976,blue
srinagar,34.0837,74.7973,green
jammu,32.7266,74.857,black
ranchi,23.3441,85.3096,red
banglore,12.9716,77.5946,blue
thiruvananthapuram,8.5241,76.9366,green
bhopal,23.2599,77.4126,black
mumbai,19.076,72.8777,red
imphal,24.817,93.9368,blue
shillong,25.5788,91.8933,green
kohima,25.6751,94.1086,black
bhubaneswar,20.2961,85.8245,red
chandigarh,30.7333,76.7794,blue
jaipur,26.9124,75.7873,green
gangtok,27.3314,88.6138,black
chennai,13.0827,80.2707,red
agartala,23.8315,91.2868,blue
hyderbad,17.385,78.4867,green
lucknow,26.8467,80.9462,black
dehradun,30.3165,78.0322,red
kolkata,22.5726,88.3639,blue
